ablum,ablummid,end,id,name,singer,songmid,start,url
Storyteller,002qmlWV1Cbyll,2016_37,104701584,Church Bells,Carrie Underwood,001F2FEc2qDjDV,2016_21,https://y.qq.com/n/yqq/song/001F2FEc2qDjDV.html
Purpose (Deluxe),004J17sv3iqNkK,2016_36,105088510,Love Yourself,Justin Bieber,001tcKlc0yHWkc,2015_48,https://y.qq.com/n/yqq/song/001tcKlc0yHWkc.html
Blonde,004Qtlkt3l5X2E,2016_36,108174431,Nikes (Explicit),Frank Ocean,003ufvef1mwjiY,2016_36,https://y.qq.com/n/yqq/song/003ufvef1mwjiY.html
Blonde,004Qtlkt3l5X2E,2016_36,108174432,Ivy (Explicit),Frank Ocean,002GXR1Z0SGIbD,2016_36,https://y.qq.com/n/yqq/song/002GXR1Z0SGIbD.html
Blonde,004Qtlkt3l5X2E,2016_36,108174433,Pink + White,Frank Ocean,003yZX8R0EU0FG,2016_36,https://y.qq.com/n/yqq/song/003yZX8R0EU0FG.html
Blonde,004Qtlkt3l5X2E,2016_36,108174435,Solo,Frank Ocean,002FNaMv4bS5VN,2016_36,https://y.qq.com/n/yqq/song/002FNaMv4bS5VN.html
Blonde,004Qtlkt3l5X2E,2016_36,108174439,Nights (Explicit),Frank Ocean,002Z60cE0hfFPy,2016_36,https://y.qq.com/n/yqq/song/002Z60cE0hfFPy.html
Uber Everywhere,002WqEz71jASEn,2016_35,105628788,Uber Everywhere (Clean),MadeinTYO,003nDFbF4Qc5Yt,2016_15,https://y.qq.com/n/yqq/song/003nDFbF4Qc5Yt.html
Hit or Miss,003Ee68g4NWgW6,2016_35,107785412,Hit or Miss,Jacob Sartorius,002RZKNV1GsvG1,2016_32,https://y.qq.com/n/yqq/song/002RZKNV1GsvG1.html
Fix,0025x9vd44etfI,2016_35,104958604,Fix,Chris Lane,001KNmbR0MbPrL,2016_24,https://y.qq.com/n/yqq/song/001KNmbR0MbPrL.html
Swaay,003Rjfgn0DUIpy,2016_35,104864133,Toothbrush,DNCE,001sNFqz04qlEu,2016_26,https://y.qq.com/n/yqq/song/001sNFqz04qlEu.html
Pop Style,0011wgEY1O6UzQ,2016_35,105843629,Pop Style,Drake,001IcN3i2yx2PI,2016_16,https://y.qq.com/n/yqq/song/001IcN3i2yx2PI.html
Lights Come On,003Bq86Q3I82df,2016_35,105831331,Lights Come On,Jason Aldean,001zI6kE247bOd,2016_16,https://y.qq.com/n/yqq/song/001zI6kE247bOd.html
JEKYLL   HYDE,001Fv6Ya049QHC,2016_35,106712721,Castaway,Zac Brown Band,000Ue3YU45HoCR,2016_32,https://y.qq.com/n/yqq/song/000Ue3YU45HoCR.html
